Rent:,Available from:,Type:,No. of rooms:,Floor:,Listing ID,Object ref.,Address,URL,Surface living:,Year built:,Last refurbishment:,Number of floors:,Floor space:,Room height:
"CHF 10,400.–",31.01.2024,Apartment,6.5,GF,4000178196,9oe4u.vvnku,8142 Uitikon Waldegg,https://www.homegate.ch/rent/4000178196,,,,,,
"CHF 1,980.–",Immediately,Apartment,2,3,4000178168,ou79i.rcc76,"Bremgartnerstrasse 35, 8003 Zürich",https://www.homegate.ch/rent/4000178168,73 m2,1965,,,,
"CHF 2,280.–",01.12.2023,Apartment,3,5,4000178101,44001.18503.hsh8f.sdl0y,"Goldschmiedstrasse 13, 8102 Oberengstringen",https://www.homegate.ch/rent/4000178101,75 m2,1978,2018,,,
"CHF 5,640.–",15.01.2024,Apartment,5.5,2,4000178100,kkl04.ffd2u,"Oberhubstrasse 20, 8125 Zollikerberg",https://www.homegate.ch/rent/4000178100,170 m2,2012,,,,
"CHF 2,860.–",01.12.2023,Apartment,4,1,4000178089,klqia.7y6xf,"Dorfstrasse 40, 8102 Oberengstringen",https://www.homegate.ch/rent/4000178089,94 m2,,2021,,,
"CHF 4,960.–",By agreement,Terrace flat,4.5,1,4000178067,lzl6w.xv282,"Buchzelgstrasse, 8053 Zürich",https://www.homegate.ch/rent/4000178067,150 m2,,,1,,
"CHF 2,470.–",Immediately,Apartment,3.5,1,4000178061,l6p6v.44mta,8049 Zürich,https://www.homegate.ch/rent/4000178061,87 m2,,,,,
"CHF 2,580.–",01.01.2024,Apartment,4,1,4000177844,qqeog.3exri,"Zimmerlistrasse 14, 8004 Zürich",https://www.homegate.ch/rent/4000177844,96 m2,1930,1970,,96 m2,2.5 m
"CHF 2,580.–",01.06.2024,Apartment,2.5,,4000177834,40197/UY/1.5.4,"Bucheggstrasse 130, 8057 Zürich",https://www.homegate.ch/rent/4000177834,52 m2,2024,,5,,
"CHF 7,000.–",01.06.2024,Apartment,5.5,,4000177833,40197/UY/4.5.4,"Bucheggstrasse 130, 8057 Zürich",https://www.homegate.ch/rent/4000177833,170 m2,2024,,5,,
"CHF 2,930.–",01.04.2024,Apartment,3.5,,4000177832,40187/g-l/2.5.2,"Giessen-Lab, 8600 Dübendorf",https://www.homegate.ch/rent/4000177832,94 m2,2024,,6,,
"CHF 4,830.–",01.06.2024,Apartment,4,,4000177831,40197/UY/3.5.4,"Bucheggstrasse 130, 8057 Zürich",https://www.homegate.ch/rent/4000177831,117 m2,2024,,5,,
"CHF 3,460.–",Immediately,Apartment,4.5,5,4000176687,5000.04.0075,"In der Gand-Str. 7, 8126 Zumikon",https://www.homegate.ch/rent/4000176687,140 m2,1975,,,,
"CHF 2,240.–",Immediately,Apartment,3,4,4000176669,1124.01.000151,"Badenerstrasse 743, 8048 Zürich",https://www.homegate.ch/rent/4000176669,,1931,,,,
"CHF 3,970.–",01.11.2023,Apartment,4.5,3,4000176650,11103.01.10300,"Stüssistrasse 83, 8057 Zürich",https://www.homegate.ch/rent/4000176650,130 m2,,,,,
"CHF 6,280.–",By agreement,Loft,4.5,20,4000175901,1us7x.xsy60,"Baslerstrasse 77, 8048 Zürich",https://www.homegate.ch/rent/4000175901,129 m2,2022,,,,
"CHF 3,580.–",15.12.2023,Apartment,4.5,GF,4000175684,ce7x2.beqqi,"Schaffhauserstrasse 647, 8052 Zürich",https://www.homegate.ch/rent/4000175684,140 m2,2002,,1,109 m2,2.25 m
"CHF 3,580.–",01.12.2023,Apartment,4.5,3,4000175660,38044.01.430004,"Überlandstrasse 198, 8600 Dübendorf",https://www.homegate.ch/rent/4000175660,140 m2,2012,,,,
"CHF 4,500.–",By agreement,Roof flat,4.5,4,4000175456,wbjlt.dwgfx,"Langgrütstrasse 98, 8047 Zürich",https://www.homegate.ch/rent/4000175456,101 m2,2022,,,,
"CHF 4,240.–",01.11.2023,Apartment,4.5,GF,4000175314,157601.01.00004,"Frohburgstr. 30, 8006 Zürich",https://www.homegate.ch/rent/4000175314,98 m2,1933,,,,
